class_id,class_name,precision,recall,f1,support
129,cuadricula,0.0000,0.0000,0.0000,0
130,cuadriculado,0.0000,0.0000,0.0000,0
131,cuadrícula,0.0000,0.0000,0.0000,0
132,cualquier,0.0000,0.0000,0.0000,0
133,cualquiera,0.0000,0.0000,0.0000,0
134,cuando,0.0000,0.0000,0.0000,1
135,cuarentena,0.0000,0.0000,0.0000,0
136,cuatro,0.0000,0.0000,0.0000,3
137,cubrir,0.0000,0.0000,0.0000,0
138,cuello,0.0000,0.0000,0.0000,0
139,cuerpo,0.0000,0.0000,0.0000,2
140,cuidar,0.0000,0.0000,0.0000,0
141,cumplir,0.0000,0.0000,0.0000,0
142,cuál,0.0000,0.0000,0.0000,1
143,cuáles,0.0000,0.0000,0.0000,0
144,cuándo,0.0000,0.0000,0.0000,0
145,cuánto,0.2222,0.4444,0.2963,9
146,cuántos,0.0000,0.0000,0.0000,1
147,cálculo,0.0000,0.0000,0.0000,0
148,cómo,0.3750,0.6000,0.4615,5
149,dar,0.0000,0.0000,0.0000,1
150,darte,0.0000,0.0000,0.0000,0
151,decir,0.0000,0.0000,0.0000,5
152,decirme,0.0000,0.0000,0.0000,0
153,dejar,0.0000,0.0000,0.0000,1
154,dejar-frasco,0.0000,0.0000,0.0000,0
155,dentro,0.2500,0.2500,0.2500,4
156,depende,0.0000,0.0000,0.0000,0
157,derecho,0.0000,0.0000,0.0000,0
158,desaparecer,0.0000,0.0000,0.0000,0
159,descubrir,0.0000,0.0000,0.0000,0
160,despierto,0.0000,0.0000,0.0000,0
161,destapar,0.0000,0.0000,0.0000,0
162,dia,0.0000,0.0000,0.0000,0
163,diariamente,0.0000,0.0000,0.0000,1
164,diariamiente,0.0000,0.0000,0.0000,0
165,diario,0.0000,0.0000,0.0000,2
166,dibujar,0.0000,0.0000,0.0000,1
167,diez,0.2500,0.5000,0.3333,2
168,diferente,0.0000,0.0000,0.0000,2
169,diferentes,0.0000,0.0000,0.0000,2
170,difícil,0.0000,0.0000,0.0000,1
171,dinero,0.0000,0.0000,0.0000,1
172,dividir,0.2857,0.6667,0.4000,3
173,doce,0.0000,0.0000,0.0000,0
174,dolor,0.0000,0.0000,0.0000,0
175,dormir,0.6667,1.0000,0.8000,2
176,dos,0.0909,0.1250,0.1053,8
177,día,0.0000,0.0000,0.0000,1
178,días,0.0000,0.0000,0.0000,0
179,dónde,0.0000,0.0000,0.0000,0
180,echar,0.0000,0.0000,0.0000,0
181,edad,0.0000,0.0000,0.0000,1
182,educación,0.0000,0.0000,0.0000,0
183,educar,0.0000,0.0000,0.0000,0
184,ejemplo,0.5000,1.0000,0.6667,1
185,ejercicios,0.0000,0.0000,0.0000,1
186,elecciones,0.0000,0.0000,0.0000,1
187,ella,0.0000,0.0000,0.0000,1
188,ellos,0.0000,0.0000,0.0000,2
189,emoción,0.3846,0.8333,0.5263,6
190,empatía,0.0000,0.0000,0.0000,1
191,empezar,0.0000,0.0000,0.0000,1
192,empujar,0.0000,0.0000,0.0000,1
193,encontrar,0.0000,0.0000,0.0000,1
194,enfocar,0.0000,0.0000,0.0000,1
195,enojar,0.2500,0.3333,0.2857,3
196,enojo,0.0000,0.0000,0.0000,0
197,ensalada,0.0000,0.0000,0.0000,0
198,enseñarme,0.0000,0.0000,0.0000,1
199,entender,0.0000,0.0000,0.0000,1
200,entonces,0.0000,0.0000,0.0000,1
201,enviar,0.0000,0.0000,0.0000,0
202,equivale,0.0000,0.0000,0.0000,0
203,escribir,0.0000,0.0000,0.0000,2
204,escuchar,0.0000,0.0000,0.0000,0
205,ese,0.0000,0.0000,0.0000,5
206,eso,0.0000,0.0000,0.0000,0
207,esos,0.0000,0.0000,0.0000,0
208,espejo,0.0000,0.0000,0.0000,0
209,esperar,0.0000,0.0000,0.0000,1
210,estar,0.0000,0.0000,0.0000,0
211,este,0.0000,0.0000,0.0000,1
212,estrella,1.0000,1.0000,1.0000,1
213,evitar,0.0000,0.0000,0.0000,0
214,excelente,0.0000,0.0000,0.0000,0
215,expirar,0.0000,0.0000,0.0000,0
216,explicar,0.0000,0.0000,0.0000,0
217,faltar,0.0000,0.0000,0.0000,0
218,familia,0.2000,0.3333,0.2500,3
219,feliz,0.2500,0.5000,0.3333,2
220,finalmente,0.0000,0.0000,0.0000,0
221,fluir,0.0000,0.0000,0.0000,0
222,fortalecer,0.0000,0.0000,0.0000,1
223,frase,0.0000,0.0000,0.0000,0
224,frecuentemente,0.0000,0.0000,0.0000,0
225,frijol,0.0000,0.0000,0.0000,1
226,fuerte,0.1250,0.2000,0.1538,5
227,fuerza,0.0000,0.0000,0.0000,0
228,fácil,0.3333,0.5000,0.4000,2
229,ganar,0.0000,0.0000,0.0000,0
230,gaseosa,0.0000,0.0000,0.0000,0
231,germinado,0.0000,0.0000,0.0000,2
232,germinados,0.0000,0.0000,0.0000,0
233,germinar,0.0000,0.0000,0.0000,1
234,gracias,0.0000,0.0000,0.0000,1
235,grado,0.5000,0.5000,0.5000,2
236,gramos,0.0000,0.0000,0.0000,1
237,grande,0.0000,0.0000,0.0000,0
238,grasa,0.5000,0.5000,0.5000,2
239,gritar,0.0000,0.0000,0.0000,0
240,guardar,0.0000,0.0000,0.0000,1
